契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價差對單式委託成交量
TX,202410  ,22553,22903,22504,22825,332,1.48%,72211.0,-,-,22826,22835,23578,18900,,
TX,202410  ,23034,23078,22892,22957,165,0.72%,65948.0,22957,81470,22955,22957,23578,18900,,
TX,202410  ,22766,23031,22747,22939,147,0.64%,56816.0,-,-,22936,22942,23578,18900,,
TX,202410  ,23190,23195,22878,22884,-73,-0.32%,75657.0,22892,82677,22882,22884,23578,18900,,
TX,202410  ,23007,23395,23006,23211,254,1.11%,89033.0,-,-,23202,23212,23578,18900,,
TX,202410  ,22699,22755,22316,22326,-566,-2.47%,87164.0,22326,80080,22326,22328,23578,18900,,
TX,202410  ,22873,22981,22632,22651,-241,-1.05%,80351.0,-,-,22645,22658,23578,18900,,
TX,202410  ,22246,22463,22228,22391,65,0.29%,57504.0,22391,80872,22390,22398,23578,18900,,
TX,202410  ,22334,22435,22006,22210,-116,-0.52%,72570.0,-,-,22202,22211,23578,18900,,
TX,202410  ,22331,22507,22250,22284,-107,-0.48%,83107.0,22288,79065,22281,22288,23578,18900,,
TX,202410  ,22403,22439,21889,22100,-291,-1.30%,90035.0,-,-,22103,22107,23578,18900,,
TX,202410  ,22570,22808,22539,22779,491,2.20%,76667.0,22767,82989,22776,22780,23578,18900,,
TX,202410  ,22324,22660,22237,22522,234,1.05%,77852.0,-,-,22522,22526,23578,18900,,
TX,202410  ,22606,22634,22392,22575,-192,-0.84%,73369.0,22578,77985,22575,22582,23578,18900,,
TX,202410  ,22751,22757,22453,22560,-207,-0.91%,57793.0,-,-,22559,22570,23578,18900,,
TX,202410  ,22770,22888,22666,22702,124,0.55%,66303.0,22699,78346,22700,22702,23578,18900,,
